Date,Day,Category,Drive_ID,Preview_URL,Caption,Status
2026-06-05,Friday,SB,1Dc3PHyri3Ns11pV--y2PYZf2EQOtfoW1,"https://drive.google.com/thumbnail?id=1Dc3PHyri3Ns11pV--y2PYZf2EQOtfoW1&sz=w400","One whole year of magic. 🎂 Sienna's first birthday — full of colour, cake, and so much love. #firstbirthday #spirosstories",Pending
2026-06-06,Saturday,JE,1c7aW-f4203zYRWyfwmvDgP7FFbmn1D_m,"https://drive.google.com/thumbnail?id=1c7aW-f4203zYRWyfwmvDgP7FFbmn1D_m&sz=w400","Giving back feels like this. ❤️ The Jeremiah Project — people showing up for people. #community #jeremiahproject #sydneyphotographer #spirosstories",Pending
2026-06-07,Sunday,EN,12he2H5m9CQIfMJX4DP1zIHFLrIffmL-q,"https://drive.google.com/thumbnail?id=12he2H5m9CQIfMJX4DP1zIHFLrIffmL-q&sz=w400","When a whole room feels it at once. 💍 Freddy & Janice. #engagement #engagementparty #love #sydneyphotographer",Pending
2026-06-08,Monday,BS,15C23NHX8IHEa_M_80Oc1K2EUeKawu2x3,"https://drive.google.com/thumbnail?id=15C23NHX8IHEa_M_80Oc1K2EUeKawu2x3&sz=w400","New beginnings deserve to be remembered. 🤍 #babyshower #sydneyphotographer #spirosstories #mumtobe #newborn",Pending
2026-06-09,Tuesday,SB,1VI3C6xmoLuCBNX34zDIuP7x0kdCWh-_B,"https://drive.google.com/thumbnail?id=1VI3C6xmoLuCBNX34zDIuP7x0kdCWh-_B&sz=w400","They grow up faster than you think. That's why we photograph every moment. ✨ #firstbirthday #sydneyphotographer",Pending
2026-06-10,Wednesday,EN,1BnpV3VGFN5oj4mTZ8VVau1NwPY3bZnrJ,"https://drive.google.com/thumbnail?id=1BnpV3VGFN5oj4mTZ8VVau1NwPY3bZnrJ&sz=w400","Love like this deserves to be witnessed. 🤍 #engagementparty #engaged #sydneyphotographer #spirosstories",Pending
2026-06-11,Thursday,BS,1Mr46hl9VNe9VlCafn7LBWgipdq2yZ1FK,"https://drive.google.com/thumbnail?id=1Mr46hl9VNe9VlCafn7LBWgipdq2yZ1FK&sz=w400","The countdown starts here. ✨ Every smile, every hug — captured. #babyshower #sydneyphotography #babymemories",Pending
2026-06-12,Friday,SB,12Vd1pnGXPQgej2ISLwsfLdtxglIBCE32,"https://drive.google.com/thumbnail?id=12Vd1pnGXPQgej2ISLwsfLdtxglIBCE32&sz=w400","Cake, confetti, and all the love in the room. 🎈 #firstbirthday #birthday #sydneyphotographer #celebration",Pending
2026-06-13,Saturday,JE,1_pRU2plHXJDAdBgOe5skgVXAlbkMnOLS,"https://drive.google.com/thumbnail?id=1_pRU2plHXJDAdBgOe5skgVXAlbkMnOLS&sz=w400","Not all moments are milestones. Some are just communities showing up. 🙏 #communityevent #jeremiahproject #sydney",Pending
2026-06-14,Sunday,EN,1PgptWo1vvj7gVbgSnEXyTHPKadn_wbPp,"https://drive.google.com/thumbnail?id=1PgptWo1vvj7gVbgSnEXyTHPKadn_wbPp&sz=w400","The smile you can't fake. 💍 #engaged #engagementphotography #sydneyphotographer #spirosstories",Pending
2026-06-15,Monday,BS,1whCBr3aDjKxpQIgLn8YaKWbIGfotMU4V,"https://drive.google.com/thumbnail?id=1whCBr3aDjKxpQIgLn8YaKWbIGfotMU4V&sz=w400","A room full of love before baby even arrives. 🌸 #babyshower #newbeginnings #sydneyphotographer #spirosstories",Pending
2026-06-16,Tuesday,SB,1XljWdcG_Pu6EtALVuHpsRR7P7ZaXCSoc,"https://drive.google.com/thumbnail?id=1XljWdcG_Pu6EtALVuHpsRR7P7ZaXCSoc&sz=w400","A birthday isn't just a party — it's a reminder of how far you've all come together. 🥹 #firstbirthday #familyphotography",Pending
2026-06-17,Wednesday,EN,1J8kr2i8X7N5fREJHa9y9zoFM-P355cIT,"https://drive.google.com/thumbnail?id=1J8kr2i8X7N5fREJHa9y9zoFM-P355cIT&sz=w400","Said yes — and the whole room erupted. ✨ #engagementparty #engagement #love #sydneyphotographer",Pending
2026-06-18,Thursday,BS,1G4WgKvHoQS57ciEb5W1mT3nsajg8sqE2,"https://drive.google.com/thumbnail?id=1G4WgKvHoQS57ciEb5W1mT3nsajg8sqE2&sz=w400","From tiny gifts to big emotions — every detail of this day deserved to be remembered. 💛 #babyshower #sydneyphotographer",Pending
2026-06-19,Friday,SB,1FIDaOZyzouX-1r4nkI4KmoaQbc6wWT40,"https://drive.google.com/thumbnail?id=1FIDaOZyzouX-1r4nkI4KmoaQbc6wWT40&sz=w400","The moment she sees the cake for the first time? Irreplaceable. 🎂 #firstbirthday #sydneyphotographer #spirosstories",Pending
2026-06-20,Saturday,JE,1HBWXx6b_I-JoJcIleZrYmxwGlNp3zpuu,"https://drive.google.com/thumbnail?id=1HBWXx6b_I-JoJcIleZrYmxwGlNp3zpuu&sz=w400","Christmas 2023 with the Jeremiah Project. Grateful to have been there with my camera. ✨ #jeremiahproject #community",Pending
2026-06-21,Sunday,EN,12BjmxSSfoMb1-xKp9KBjsg_25fA46CzK,"https://drive.google.com/thumbnail?id=12BjmxSSfoMb1-xKp9KBjsg_25fA46CzK&sz=w400","Freddy & Janice — the beginning of forever. 💍 #engaged #sydneyphotographer #spirosstories",Pending
